,SS3_MAF_Leo171129_p2_S18,SS3_MAF_Leo171129_p2_S2,SS3_MAF_Leo171129_p2_S45,SS3_MAF_Leo171129_p2_S67,SS3_MAF_Leo171129_p2_S78,SS3_MAF_Leo171129_p2_S80,SS3_MAF_Leo171129_p2_S86,SS3_MAF_Leo171129_p2_S93,SS3_MAF_leo180223_p6_A02_S2,SS3_MAF_leo180223_p6_B03_S15,SS3_MAF_leo180223_p6_D01_S37,SS3_MAF_leo180223_p6_C06_S30,SS3_MAF_leo180223_p6_D04_S40,SS3_MAF_leo180223_p6_E05_S53,SS3_MAF_leo180223_p6_G11_S83,SS3_MAF_leo180223_p4_S101,SS3_MAF_leo180223_p6_H10_S94,SS3_MAF_leo180223_p4_S111,SS3_MAF_leo180223_p4_S123,SS3_MAF_leo180223_p4_S137,SS3_MAF_leo180223_p4_S146,SS3_MAF_leo180223_p4_S154,SS3_MAF_leo180223_p4_S161,SS3_MAF_leo180223_p4_S166,SS3_MAF_leo180223_p4_S171,SS3_MAF_leo180223_p4_S177,SS3_MAF_leo180223_p4_S178,SS3_MAF_leo180223_p4_S186
Map4k3,8.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0
Map4k4,15.0,0.0,4.0,1.0,12.0,9.0,0.0,2.0,12.0,7.0,2.0,8.0,1.0,2.0,8.0,0.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,4.0,3.0,10.0,3.0
Map4k5,10.0,,,11.0,14.0,,10.0,,2.0,,,,5.0,0.0,0.0,0.0,3.0,2.0,4.0,6.0,,4.0,2.0,,1.0,1.0,0.0,5.0
Map6d1,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mapk1,13.0,11.0,11.0,8.0,12.0,3.0,13.0,7.0,7.0,3.0,17.0,7.0,7.0,3.0,4.0,11.0,1.0,8.0,7.0,7.0,4.0,12.0,1.0,2.0,3.0,7.0,12.0,4.0
Mapk11,0.0,0.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,3.0,0.0,0.0
Mapk13,4.0,4.0,0.0,8.0,6.0,1.0,5.0,0.0,8.0,2.0,2.0,5.0,4.0,0.0,0.0,3.0,11.0,1.0,1.0,2.0,2.0,14.0,0.0,3.0,3.0,0.0,9.0,10.0
Mapk14,11.0,1.0,4.0,0.0,2.0,10.0,7.0,1.0,4.0,2.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,4.0,1.0,5.0,4.0,5.0
Mapk1ip1,0.0,,0.0,,,,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0
Mapk3,3.0,2.0,1.0,1.0,8.0,0.0,6.0,5.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0
Mapk4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mapk6,0.0,0.0,0.0,7.0,,5.0,,4.0,5.0,7.0,0.0,6.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,0.0,,5.0,7.0,1.0,2.0,6.0,2.0,2.0
Mapk7,0.0,0.0,0.0,1.0,2.0,1.0,,0.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0
Mapk8,3.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,,0.0,0.0,4.0,0.0,0.0,0.0
Mapk8ip1,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mapk8ip3,8.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Mapk9,0.0,,4.0,2.0,3.0,,6.0,4.0,3.0,3.0,3.0,1.0,4.0,,2.0,5.0,1.0,2.0,3.0,1.0,,4.0,1.0,0.0,0.0,,7.0,5.0
Mapkap1,6.0,0.0,,0.0,0.0,1.0,1.0,1.0,,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,,0.0,,2.0,0.0,1.0,0.0
Mapkapk2,1.0,2.0,5.0,7.0,9.0,3.0,4.0,0.0,12.0,7.0,6.0,15.0,4.0,2.0,8.0,1.0,5.0,1.0,0.0,1.0,1.0,5.0,6.0,2.0,2.0,6.0,4.0,1.0
Mapkapk3,7.0,0.0,0.0,5.0,4.0,9.0,,0.0,4.0,0.0,9.0,1.0,12.0,0.0,3.0,0.0,0.0,1.0,12.0,1.0,4.0,6.0,,2.0,8.0,3.0,0.0,2.0
Mapkapk5,0.0,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,,,0.0,,,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0
Mapkbp1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
Mapre1,14.0,9.0,17.0,15.0,17.0,4.0,24.0,2.0,20.0,14.0,12.0,4.0,11.0,9.0,6.0,8.0,12.0,0.0,9.0,9.0,7.0,12.0,13.0,2.0,25.0,3.0,10.0,17.0
Mapre2,11.0,1.0,5.0,6.0,,3.0,12.0,8.0,7.0,7.0,8.0,11.0,11.0,0.0,1.0,3.0,0.0,3.0,8.0,0.0,3.0,9.0,7.0,4.0,0.0,4.0,8.0,2.0
Mapre3,,0.0,1.0,,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,,0.0,0.0,1.0
March2,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0,,0.0,,
March3,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
March5,19.0,,,0.0,,,,0.0,7.0,0.0,0.0,6.0,2.0,5.0,0.0,,,,0.0,9.0,,,0.0,,,,,4.0
March6,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
March7,0.0,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,1.0
March8,5.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0
March9,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcks,0.0,12.0,0.0,7.0,8.0,3.0,4.0,27.0,0.0,0.0,3.0,4.0,5.0,11.0,3.0,1.0,4.0,0.0,3.0,3.0,4.0,2.0,0.0,3.0,4.0,6.0,8.0,
Marcksl1,,,,0.0,,,,0.0,2.0,2.0,8.0,3.0,,4.0,,,0.0,0.0,,,,,0.0,,2.0,,,
Marco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Mark1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
Mark2,,0.0,0.0,0.0,,,0.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,2.0,1.0,0.0
Mark3,2.0,,6.0,,,4.0,0.0,,2.0,1.0,5.0,1.0,7.0,3.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,7.0,0.0,10.0,0.0,2.0,0.0
Mark4,,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,
Mars,20.0,8.0,0.0,14.0,32.0,12.0,0.0,,23.0,22.0,14.0,14.0,16.0,18.0,7.0,0.0,5.0,0.0,4.0,10.0,,1.0,11.0,6.0,15.0,3.0,4.0,15.0
Mars2,0.0,1.0,1.0,0.0,4.0,,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Marveld1,4.0,1.0,12.0,3.0,5.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0
Masp1,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0
Masp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mast2,1.0,0.0,4.0,4.0,,0.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,3.0,7.0,3.0,0.0,6.0,2.0,0.0
Mast4,,1.0,1.0,1.0,4.0,1.0,0.0,,0.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0
Mastl,,1.0,2.0,4.0,0.0,0.0,10.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,2.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0
Mat2a,2.0,4.0,5.0,15.0,30.0,6.0,11.0,24.0,2.0,4.0,11.0,3.0,7.0,4.0,5.0,0.0,0.0,0.0,5.0,3.0,,0.0,0.0,0.0,6.0,9.0,0.0,6.0
Mat2b,3.0,8.0,6.0,10.0,5.0,0.0,8.0,0.0,13.0,2.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,7.0,1.0
Matk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matn2,0.0,0.0,,0.0,13.0,0.0,0.0,0.0,,6.0,3.0,,3.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0
Matr3,14.0,8.0,1.0,,0.0,,,,0.0,10.0,6.0,9.0,0.0,3.0,0.0,12.0,9.0,,0.0,0.0,0.0,,11.0,4.0,2.0,3.0,,0.0
Mau2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,,1.0,0.0,0.0,1.0,1.0
Mavs,1.0,3.0,0.0,3.0,,0.0,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0
Max,2.0,0.0,6.0,0.0,,3.0,4.0,7.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0,3.0,0.0
Mbd1,,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0
Mbd2,10.0,6.0,6.0,4.0,4.0,3.0,1.0,7.0,3.0,3.0,4.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0
Mbd4,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
