,SS3_MAF_Leo171129_p2_S1,SS3_MAF_Leo171129_p2_S22,SS3_MAF_Leo171129_p2_S26,SS3_MAF_Leo171129_p2_S28,SS3_MAF_Leo171129_p2_S30,SS3_MAF_Leo171129_p2_S32,SS3_MAF_Leo171129_p2_S55,SS3_MAF_Leo171129_p2_S5,SS3_MAF_Leo171129_p2_S6,SS3_MAF_Leo171129_p2_S76,SS3_MAF_Leo171129_p2_S81,SS3_MAF_Leo171129_p2_S94,SS3_MAF_Leo171129_p2_S9,SS3_MAF_leo180223_p6_A09_S9,SS3_MAF_leo180223_p6_B05_S17,SS3_MAF_leo180223_p6_A05_S5,SS3_MAF_leo180223_p6_C04_S28,SS3_MAF_leo180223_p6_D06_S42,SS3_MAF_leo180223_p6_G01_S73,SS3_MAF_leo180223_p6_G05_S77,SS3_MAF_leo180223_p4_S104,SS3_MAF_leo180223_p4_S116,SS3_MAF_leo180223_p4_S131,SS3_MAF_leo180223_p4_S139,SS3_MAF_leo180223_p4_S138,SS3_MAF_leo180223_p4_S148,SS3_MAF_leo180223_p4_S150,SS3_MAF_leo180223_p4_S151,SS3_MAF_leo180223_p4_S158,SS3_MAF_leo180223_p4_S187,SS3_MAF_leo180223_p4_S191
Cacna1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cacna1b,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cacna1c,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0
Cacna1g,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0
Cacna2d1,,0.0,1.0,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Cacnb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cacnb3,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0
Cacnb4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Cacybp,0.0,6.0,4.0,3.0,0.0,7.0,12.0,3.0,30.0,12.0,4.0,8.0,30.0,1.0,0.0,0.0,1.0,4.0,,1.0,0.0,7.0,6.0,2.0,9.0,4.0,3.0,7.0,13.0,3.0,0.0
Cad,4.0,2.0,3.0,0.0,0.0,6.0,4.0,0.0,1.0,8.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,,4.0,2.0,0.0,1.0
Cadm1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cadm4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cage1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calcoco1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cald1,72.0,16.0,31.0,16.0,6.0,26.0,115.0,14.0,38.0,17.0,8.0,38.0,51.0,11.0,3.0,8.0,29.0,20.0,9.0,6.0,5.0,30.0,26.0,19.0,33.0,8.0,6.0,20.0,56.0,14.0,18.0
Calhm2,2.0,5.0,0.0,5.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,,1.0
Calm1,22.0,9.0,24.0,10.0,9.0,32.0,30.0,26.0,40.0,31.0,11.0,23.0,45.0,4.0,4.0,10.0,33.0,12.0,12.0,11.0,4.0,16.0,12.0,6.0,21.0,25.0,7.0,26.0,20.0,18.0,6.0
Calm3,13.0,7.0,2.0,2.0,,6.0,15.0,9.0,12.0,20.0,3.0,2.0,15.0,0.0,3.0,0.0,1.0,3.0,4.0,0.0,0.0,5.0,5.0,2.0,19.0,10.0,,3.0,14.0,3.0,6.0
Calml4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Calr,63.0,11.0,34.0,10.0,5.0,29.0,83.0,4.0,48.0,31.0,1.0,74.0,36.0,14.0,6.0,9.0,20.0,14.0,7.0,23.0,3.0,7.0,13.0,12.0,16.0,12.0,3.0,16.0,19.0,9.0,11.0
Calr4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calu,21.0,15.0,4.0,7.0,4.0,10.0,26.0,13.0,15.0,13.0,3.0,17.0,16.0,1.0,,5.0,7.0,11.0,8.0,9.0,1.0,6.0,16.0,3.0,22.0,8.0,5.0,18.0,14.0,5.0,5.0
Camk1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Camk2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camk2d,0.0,0.0,,2.0,,0.0,7.0,1.0,2.0,4.0,,3.0,1.0,1.0,3.0,0.0,,2.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0
Camk2g,,2.0,0.0,0.0,,,4.0,0.0,2.0,3.0,1.0,,2.0,,,,3.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0
Camk2n2,0.0,,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Camk4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camkk2,,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,5.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,
Caml,1.0,1.0,6.0,0.0,1.0,3.0,10.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,0.0,3.0,2.0,1.0,0.0
Camp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camsap1,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,1.0,0.0,0.0,0.0,,,,0.0
Camta1,0.0,,,0.0,0.0,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0
Camta2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,4.0,0.0,0.0,,0.0,0.0,1.0,0.0,
Cand1,,,,,,,,,16.0,,,0.0,,,,,,,,,,,12.0,,17.0,,,,,,
Cand2,,0.0,0.0,0.0,0.0,,,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0
Cant1,2.0,,5.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,0.0
Canx,13.0,3.0,10.0,1.0,2.0,7.0,22.0,18.0,16.0,6.0,0.0,7.0,9.0,5.0,6.0,9.0,5.0,8.0,5.0,15.0,2.0,7.0,4.0,3.0,9.0,8.0,2.0,7.0,4.0,4.0,4.0
Cap1,0.0,0.0,4.0,2.0,,1.0,6.0,,4.0,6.0,0.0,0.0,4.0,4.0,0.0,2.0,8.0,6.0,,0.0,1.0,4.0,0.0,0.0,5.0,0.0,4.0,6.0,7.0,0.0,4.0
Cap2,1.0,0.0,1.0,0.0,0.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capg,12.0,8.0,12.0,5.0,1.0,16.0,22.0,4.0,3.0,12.0,6.0,12.0,12.0,0.0,0.0,3.0,3.0,6.0,5.0,10.0,3.0,6.0,9.0,1.0,20.0,21.0,,10.0,43.0,0.0,3.0
